General : Start date,"1/29/2024 3:44 PM"
General : End date,"1/29/2024 3:45 PM"
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00215"
"0.10000","0.00242","-0.00126"
"0.20000","0.01117","0.01607"
"0.30000","0.02258","0.04385"
"0.40000","0.03281","0.05751"
"0.50000","0.04293","0.08057"
"0.60000","0.05281","0.09804"
"0.70000","0.06260","0.12288"
"0.80000","0.07307","0.13759"
"0.90000","0.08276","0.15868"
"1.00000","0.09272","0.18068"
"1.10000","0.10307","0.19929"
"1.20000","0.11255","0.21082"
"1.30000","0.12276","0.23724"
"1.40000","0.13283","0.25631"
"1.50000","0.14268","0.27241"
"1.60000","0.15266","0.29748"
"1.70000","0.16280","0.31243"
"1.80000","0.17291","0.32836"
"1.90000","0.18278","0.35328"
"2.00000","0.19249","0.36853"
"2.10000","0.20316","0.39241"
"2.20000","0.21276","0.40792"
"2.30000","0.22272","0.42969"
"2.40000","0.23302","0.45233"
"2.50000","0.24255","0.46654"
"2.60000","0.25275","0.48720"
"2.70000","0.26281","0.50793"
"2.80000","0.27264","0.52618"
"2.90000","0.28286","0.54478"
"3.00000","0.29278","0.56477"
"3.10000","0.30302","0.58382"
"3.20000","0.31279","0.60046"
"3.30000","0.32250","0.62012"
"3.40000","0.33314","0.64300"
"3.50000","0.34274","0.65543"
"3.60000","0.35281","0.67741"
"3.70000","0.36295","0.70252"
"3.80000","0.37251","0.71811"
"3.90000","0.38281","0.73712"
"4.00000","0.39283","0.75735"
"4.10000","0.40262","0.78125"
"4.20000","0.41290","0.79585"
"4.30000","0.42268","0.81765"
"4.40000","0.43299","0.83680"
"4.50000","0.44280","0.85677"
"4.60000","0.45259","0.87241"
"4.70000","0.46321","0.89448"
"4.80000","0.47270","0.91493"
"4.90000","0.48279","0.92959"
"5.00000","0.49298","0.95474"
"5.10000","0.50242","0.96940"
"5.20000","0.51278","0.98998"
"5.30000","0.52292","1.00727"
"5.40000","0.53260","1.02712"
"5.50000","0.54279","1.05130"
"5.60000","0.55271","1.06476"
"5.70000","0.56293","1.08686"
"5.80000","0.57279","1.10888"
"5.90000","0.58257","1.12713"
"6.00000","0.59320","1.14804"
"6.10000","0.60267","1.16606"
"6.20000","0.61285","1.18267"
"6.30000","0.62300","1.20431"
"6.40000","0.63244","1.22151"
"6.50000","0.64278","1.24489"
"6.60000","0.65292","1.26373"
"6.70000","0.66262","1.28323"
"6.80000","0.67279","1.30416"
"6.90000","0.68267","1.31813"
"7.00000","0.69298","1.33648"
"7.10000","0.70272","1.36053"
"7.20000","0.71253","1.37826"
"7.30000","0.72326","1.39751"
"7.40000","0.73268","1.41533"
"7.50000","0.74279","1.43580"
"7.60000","0.75286","1.45543"
"7.70000","0.76252","1.47493"
"7.80000","0.77279","1.49578"
"7.90000","0.78299","1.51368"
"8.00000","0.79264","1.53562"
"8.10000","0.80280","1.55668"
"8.20000","0.81270","1.57559"
"8.30000","0.82306","1.59195"
"8.40000","0.83271","1.61215"
"8.50000","0.84260","1.63482"
"8.60000","0.85311","1.65422"
"8.70000","0.86264","1.66814"
"8.80000","0.87271","1.69246"
"8.90000","0.88286","1.70989"
"9.00000","0.89255","1.72972"
"9.10000","0.90277","1.74784"
"9.20000","0.91289","1.76864"
"9.30000","0.92264","1.78681"
"9.40000","0.93285","1.80653"
"9.50000","0.94256","1.82392"
"9.60000","0.95309","1.84428"
"9.70000","0.96286","1.86822"
"9.80000","0.97272","1.88564"
"9.90000","0.98312","1.90624"
"10.00000","0.99273","1.92016"
"10.07300","1.00007","1.93513"
"10.07400","1.00016","1.93493"
"10.07500","1.00025","1.93472"
"10.17500","1.00191","1.93976"
"10.27500","1.00157","1.94221"
"10.37500","1.00118","1.94253"
"10.47500","1.00064","1.93721"
"10.57500","1.00017","1.94158"
"10.67500","1.00003","1.93925"
"10.77500","0.99996","1.93627"
"10.87500","0.99996","1.94086"
"10.97500","0.99996","1.93905"
"11.07500","0.99996","1.93842"
"11.17500","0.99988","1.94023"
"11.27500","0.99988","1.94138"
"11.37500","0.99988","1.94256"
"11.47500","0.99988","1.93925"
"11.57500","0.99988","1.94400"
"11.67500","0.99988","1.94481"
"11.77500","0.99989","1.93979"
"11.87500","0.99996","1.94038"
"11.97500","0.99996","1.93860"
"12.07500","0.99996","1.94136"
"12.17500","0.99996","1.94047"
"12.27500","0.99996","1.93920"
"12.37500","0.99996","1.94008"
"12.47500","0.99996","1.94292"
"12.57500","0.99996","1.93858"
"12.67500","0.99996","1.93972"
"12.77500","0.99996","1.93820"
"12.87500","0.99996","1.93695"
"12.97500","0.99996","1.94119"
"13.07500","0.99996","1.94270"
"13.17500","0.99996","1.94212"
"13.27500","0.99996","1.93591"
"13.37500","0.99996","1.94377"
"13.47500","0.99996","1.94169"
"13.57500","0.99996","1.93863"
"13.67500","0.99996","1.94052"
"13.77500","0.99996","1.94060"
"13.87500","0.99996","1.94167"
"13.97500","0.99996","1.94200"
"14.07500","0.99996","1.94054"
"14.17500","0.99996","1.93960"
"14.27500","0.99996","1.93878"
"14.37500","0.99996","1.94022"
"14.47500","0.99996","1.93916"
"14.57500","0.99996","1.93643"
"14.67500","0.99996","1.93644"
"14.77500","0.99996","1.93902"
"14.87500","0.99996","1.94067"
"14.97500","0.99996","1.94042"
"15.07500","0.99996","1.93819"
"15.17500","0.99996","1.94091"
"15.27500","0.99996","1.93772"
"15.37500","0.99996","1.93825"
"15.47500","0.99996","1.94385"
"15.57500","0.99996","1.94155"
"15.67500","0.99996","1.93976"
"15.77500","0.99996","1.94171"
"15.87500","0.99996","1.94141"
"15.97500","0.99996","1.94009"
"16.07500","0.99996","1.93820"
"16.17500","0.99996","1.94260"
"16.27500","0.99996","1.93909"
"16.37500","0.99996","1.93845"
"16.47500","0.99996","1.94541"
"16.57500","0.99996","1.93982"
"16.67500","0.99996","1.94056"
"16.77500","0.99996","1.94111"
"16.87500","0.99996","1.93846"
"16.97500","0.99996","1.93840"
"17.07500","0.99996","1.93956"
"17.17500","0.99996","1.93993"
"17.27500","0.99996","1.94119"
"17.37500","0.99996","1.93824"
"17.47500","0.99996","1.94253"
"17.57500","0.99996","1.94333"
"17.67500","0.99996","1.93418"
"17.77500","0.99996","1.94101"
"17.87500","0.99996","1.93780"
"17.97500","0.99996","1.93696"
"18.07500","0.99996","1.94013"
"18.17500","0.99996","1.93933"
"18.27500","0.99996","1.94125"
"18.37500","0.99996","1.93831"
"18.47500","0.99996","1.93809"
"18.57500","0.99996","1.94258"
"18.67500","0.99996","1.93635"
"18.77500","0.99996","1.93501"
"18.87500","0.99996","1.94439"
"18.97500","0.99996","1.93942"
"19.07500","0.99996","1.94118"
"19.17500","0.99996","1.94193"
"19.27500","0.99996","1.94204"
"19.37500","0.99996","1.94290"
"19.47500","0.99996","1.93587"
"19.57500","0.99996","1.94140"
"19.67500","0.99996","1.94033"
"19.77500","0.99996","1.93705"
"19.87500","0.99996","1.93819"
"19.97500","0.99996","1.93948"
"20.07400","0.99996","1.93553"
"20.07500","0.99996","1.93558"
"20.08600","0.99996","1.93718"
"20.18600","0.99769","1.93479"
"20.28600","0.98634","1.91422"
"20.38600","0.97553","1.89318"
"20.48600","0.96566","1.86977"
"20.58600","0.95542","1.85589"
"20.68600","0.94568","1.83325"
"20.78600","0.93554","1.81041"
"20.88600","0.92566","1.79432"
"20.98600","0.91591","1.77202"
"21.08600","0.90519","1.75182"
"21.18600","0.89561","1.73879"
"21.28600","0.88566","1.71299"
"21.38600","0.87526","1.69486"
"21.48600","0.86575","1.67742"
"21.58600","0.85537","1.65641"
"21.68600","0.84539","1.64206"
"21.78600","0.83555","1.61728"
"21.88600","0.82564","1.59960"
"21.98600","0.81562","1.58418"
"22.08600","0.80540","1.55379"
"22.18600","0.79568","1.53916"
"22.28600","0.78583","1.51772"
