General : Start date,"3/4/2024 5:03 PM"
General : End date,"3/4/2024 5:04 PM"
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00367"
"0.10000","0.00204","-0.00045"
"0.20000","0.01299","0.02417"
"0.30000","0.02378","0.04031"
"0.40000","0.03367","0.06656"
"0.50000","0.04403","0.08092"
"0.60000","0.05385","0.09883"
"0.70000","0.06378","0.11349"
"0.80000","0.07416","0.13584"
"0.90000","0.08377","0.15594"
"1.00000","0.09357","0.17243"
"1.10000","0.10405","0.19358"
"1.20000","0.11360","0.21411"
"1.30000","0.12379","0.22848"
"1.40000","0.13391","0.24643"
"1.50000","0.14354","0.26807"
"1.60000","0.15376","0.28780"
"1.70000","0.16366","0.30199"
"1.80000","0.17410","0.32663"
"1.90000","0.18383","0.34228"
"2.00000","0.19369","0.36352"
"2.10000","0.20414","0.37719"
"2.20000","0.21378","0.40258"
"2.30000","0.22363","0.41868"
"2.40000","0.23409","0.43125"
"2.50000","0.24353","0.45468"
"2.60000","0.25392","0.47346"
"2.70000","0.26386","0.49031"
"2.80000","0.27362","0.51146"
"2.90000","0.28379","0.53418"
"3.00000","0.29364","0.54651"
"3.10000","0.30405","0.55661"
"3.20000","0.31386","0.58642"
"3.30000","0.32365","0.60772"
"3.40000","0.33414","0.62106"
"3.50000","0.34370","0.64325"
"3.60000","0.35376","0.66572"
"3.70000","0.36402","0.67802"
"3.80000","0.37349","0.69669"
"3.90000","0.38398","0.71801"
"4.00000","0.39388","0.73508"
"4.10000","0.40360","0.75196"
"4.20000","0.41385","0.77403"
"4.30000","0.42385","0.78928"
"4.40000","0.43405","0.80293"
"4.50000","0.44386","0.82324"
"4.60000","0.45366","0.85075"
"4.70000","0.46406","0.86369"
"4.80000","0.47366","0.87995"
"4.90000","0.48374","0.90195"
"5.00000","0.49408","0.92459"
"5.10000","0.50344","0.94037"
"5.20000","0.51385","0.95891"
"5.30000","0.52388","0.98311"
"5.40000","0.53359","0.99431"
"5.50000","0.54378","1.01102"
"5.60000","0.55370","1.03851"
"5.70000","0.56409","1.05552"
"5.80000","0.57384","1.06991"
"5.90000","0.58371","1.08612"
"6.00000","0.59417","1.11071"
"6.10000","0.60368","1.11981"
"6.20000","0.61374","1.14345"
"6.30000","0.62412","1.16775"
"6.40000","0.63342","1.18570"
"6.50000","0.64390","1.19611"
"6.60000","0.65381","1.21849"
"6.70000","0.66366","1.24202"
"6.80000","0.67374","1.25206"
"6.90000","0.68372","1.27685"
