General : Start date,"4/8/2024 5:22 PM"
General : End date,"4/8/2024 5:23 PM"
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00336"
"0.10000","0.00206","-0.00883"
"0.20000","0.01261","-0.00258"
"0.30000","0.02345","0.00012"
"0.40000","0.03366","0.00879"
"0.50000","0.04335","0.01212"
"0.60000","0.05361","-0.00634"
"0.70000","0.06352","-0.00699"
"0.80000","0.07379","-0.01355"
"0.90000","0.08375","-0.01296"
"1.00000","0.09340","-0.00941"
"1.10000","0.10388","-0.00679"
"1.20000","0.11362","-0.00622"
"1.30000","0.12351","-0.00672"
"1.40000","0.13375","-0.01235"
"1.50000","0.14334","-0.01476"
"1.60000","0.15354","0.00079"
"1.70000","0.16356","-0.01284"
"1.80000","0.17345","-0.01153"
"1.90000","0.18361","-0.01073"
"2.00000","0.19354","-0.01130"
"2.10000","0.20377","-0.01691"
"2.20000","0.21359","-0.01817"
"2.30000","0.22338","-0.01752"
"2.40000","0.23389","-0.01170"
"2.50000","0.24364","-0.02240"
"2.60000","0.25360","-0.03521"
"2.70000","0.26387","-0.02256"
"2.80000","0.27324","-0.00797"
"2.90000","0.28359","-0.03182"
"3.00000","0.29367","-0.02281"
"3.10000","0.30341","-0.01596"
"3.20000","0.31364","-0.02871"
"3.30000","0.32352","-0.01485"
"3.40000","0.33380","-0.03671"
"3.50000","0.34350","-0.01130"
"3.60000","0.35342","-0.00478"
"3.70000","0.36385","-0.02459"
"3.80000","0.37357","-0.02490"
"3.90000","0.38352","-0.02818"
"4.00000","0.39392","-0.01744"
"4.10000","0.40321","-0.02394"
"4.20000","0.41358","-0.02821"
"4.30000","0.42376","-0.02778"
"4.40000","0.43351","-0.02285"
"4.50000","0.44358","-0.02426"
"4.60000","0.45361","-0.03615"
"4.70000","0.46375","-0.02891"
"4.80000","0.47356","-0.02696"
"4.90000","0.48335","-0.01263"
"5.00000","0.49392","-0.03434"
"5.10000","0.50348","-0.02797"
"5.20000","0.51350","-0.01805"
"5.30000","0.52386","-0.02715"
"5.40000","0.53321","-0.01204"
"5.50000","0.54357","-0.02182"
"5.60000","0.55367","-0.00844"
"5.70000","0.56356","-0.02767"
"5.80000","0.57354","-0.01936"
"5.90000","0.58367","-0.01386"
"6.00000","0.59370","-0.02410"
"6.10000","0.60358","-0.01554"
"6.20000","0.61338","-0.02177"
"6.30000","0.62402","-0.02305"
"6.40000","0.63350","-0.01530"
"6.50000","0.64345","-0.01707"
"6.60000","0.65376","-0.00824"
"6.70000","0.66321","-0.01035"
"6.80000","0.67354","-0.00991"
"6.90000","0.68363","-0.00731"
"7.00000","0.69358","-0.01071"
"7.10000","0.70348","0.00145"
"7.20000","0.71357","0.00361"
"7.30000","0.72371","-0.00491"
"7.40000","0.73366","-0.01037"
"7.50000","0.74340","0.01419"
"7.60000","0.75404","0.00201"
"7.70000","0.76353","0.00611"
"7.80000","0.77356","-0.00186"
"7.90000","0.78363","0.00852"
"8.00000","0.79327","0.02465"
"8.10000","0.80365","0.00060"
"8.20000","0.81363","0.01492"
"8.30000","0.82349","0.01738"
"8.40000","0.83362","0.02330"
"8.50000","0.84349","0.02923"
"8.60000","0.85380","0.01518"
"8.70000","0.86364","0.02367"
"8.80000","0.87343","0.03486"
"8.90000","0.88396","0.03130"
"9.00000","0.89344","0.03341"
"9.10000","0.90363","0.04772"
"9.20000","0.91371","0.04228"
"9.30000","0.92338","0.03984"
"9.40000","0.93364","0.04838"
"9.50000","0.94379","0.04429"
"9.60000","0.95340","0.07253"
"9.70000","0.96359","0.05627"
"9.80000","0.97345","0.05971"
"9.90000","0.98377","0.06459"
"10.00000","0.99361","0.06744"
"10.06500","1.00003","0.06332"
"10.06600","1.00011","0.06259"
"10.06700","1.00020","0.06184"
"10.16700","1.00187","0.08189"
"10.26700","1.00152","0.07546"
"10.36700","1.00117","0.07339"
"10.46700","1.00066","0.07487"
"10.56700","1.00022","0.07248"
"10.66700","1.00005","0.05849"
"10.76700","0.99996","0.06367"
"10.86700","0.99996","0.06349"
"10.96700","0.99996","0.07189"
"11.06700","0.99996","0.06919"
"11.16700","0.99996","0.07390"
"11.26700","0.99996","0.07346"
"11.36700","0.99996","0.07746"
"11.46700","0.99991","0.07255"
"11.56700","0.99988","0.06958"
"11.66700","0.99988","0.08466"
"11.76700","0.99988","0.07511"
"11.86700","0.99988","0.07121"
"11.96700","0.99988","0.07097"
"12.06700","0.99996","0.07318"
"12.16700","0.99996","0.06837"
"12.26700","0.99996","0.07371"
"12.36700","0.99996","0.04916"
"12.46700","0.99996","0.07383"
"12.56700","0.99996","0.06742"
"12.66700","0.99996","0.06552"
"12.76700","0.99996","0.06151"
"12.86700","0.99996","0.06726"
"12.96700","0.99996","0.06595"
"13.06700","0.99996","0.06436"
"13.16700","0.99996","0.06599"
"13.26700","0.99996","0.07163"
"13.36700","0.99996","0.07570"
"13.46700","0.99996","0.07040"
"13.56700","0.99996","0.06103"
"13.66700","0.99996","0.06655"
"13.76700","0.99996","0.06711"
"13.86700","0.99996","0.06254"
"13.96700","0.99996","0.07034"
"14.06700","0.99996","0.06993"
"14.16700","0.99996","0.07207"
"14.26700","0.99996","0.05846"
"14.36700","0.99996","0.05700"
"14.46700","0.99996","0.07021"
"14.56700","0.99996","0.07086"
"14.66700","0.99996","0.06423"
"14.76700","0.99996","0.05842"
"14.86700","0.99996","0.06722"
"14.96700","0.99996","0.06907"
"15.06700","0.99996","0.06760"
"15.16700","0.99996","0.05676"
"15.26700","0.99996","0.06635"
"15.36700","0.99996","0.05612"
"15.46700","0.99996","0.06281"
"15.56700","0.99996","0.05728"
"15.66700","0.99996","0.06520"
"15.76700","0.99996","0.06469"
"15.86700","0.99996","0.05814"
"15.96700","0.99996","0.05588"
"16.06700","0.99996","0.07128"
"16.16700","0.99996","0.05690"
"16.26700","0.99996","0.06030"
"16.36700","0.99996","0.05473"
"16.46700","0.99996","0.06379"
"16.56700","0.99996","0.06032"
"16.66700","0.99996","0.05233"
"16.76700","0.99996","0.05979"
"16.86700","0.99996","0.06168"
"16.96700","0.99996","0.07386"
"17.06700","0.99996","0.06559"
"17.16700","0.99996","0.06307"
"17.26700","0.99996","0.06756"
"17.36700","0.99996","0.06319"
"17.46700","0.99996","0.05975"
"17.56700","0.99996","0.06112"
"17.66700","0.99996","0.06529"
"17.76700","0.99996","0.06245"
"17.86700","0.99996","0.05281"
"17.96700","0.99996","0.05171"
"18.06700","0.99996","0.05285"
"18.16700","0.99996","0.06749"
"18.26700","0.99996","0.05439"
"18.36700","0.99996","0.05870"
"18.46700","0.99996","0.06167"
"18.56700","0.99996","0.06425"
"18.66700","0.99996","0.04990"
"18.76700","0.99996","0.06365"
"18.86700","0.99996","0.06459"
"18.96700","0.99996","0.06815"
"19.06700","0.99996","0.05458"
"19.16700","0.99996","0.06511"
"19.26700","0.99996","0.07036"
"19.36700","0.99996","0.06702"
"19.46700","0.99996","0.06438"
"19.56700","0.99996","0.05468"
"19.66700","0.99996","0.05596"
"19.76700","0.99996","0.06247"
"19.86700","0.99996","0.04283"
"19.96700","0.99996","0.05623"
"20.06600","0.99996","0.06988"
"20.06700","0.99996","0.07020"
"20.09300","0.99996","0.05418"
"20.19300","0.99757","0.05407"
"20.29300","0.98643","0.05327"
"20.39300","0.97575","0.04714"
"20.49300","0.96556","0.04705"
"20.59300","0.95559","0.02628"
"20.69300","0.94598","0.02578"
"20.79300","0.93526","0.04178"
"20.89300","0.92551","0.02145"
"20.99300","0.91570","0.02169"
"21.09300","0.90537","0.01588"
"21.19300","0.89558","0.02261"
"21.29300","0.88545","0.00866"
"21.39300","0.87527","0.00773"
"21.49300","0.86567","-0.00565"
"21.59300","0.85547","0.00711"
"21.69300","0.84561","0.00628"
"21.79300","0.83550","-0.00885"
"21.89300","0.82565","-0.00684"
"21.99300","0.81581","-0.01529"
"22.09300","0.80531","-0.01233"
"22.19300","0.79559","-0.02014"
"22.29300","0.78574","-0.02389"
"22.39300","0.77534","-0.02852"
"22.49300","0.76561","-0.01317"
"22.59300","0.75544","-0.03729"
"22.69300","0.74513","-0.02242"
"22.79300","0.73571","-0.02499"
"22.89300","0.72541","-0.02733"
"22.99300","0.71566","-0.02693"
"23.09300","0.70543","-0.04113"
"23.19300","0.69561","-0.03103"
"23.29300","0.68577","-0.04562"
"23.39300","0.67520","-0.03671"
"23.49300","0.66564","-0.04254"
"23.59300","0.65574","-0.03651"
"23.69300","0.64534","-0.05796"
"23.79300","0.63558","-0.05130"
"23.89300","0.62554","-0.05460"
"23.99300","0.61523","-0.04488"
"24.09300","0.60556","-0.04720"
"24.19300","0.59558","-0.04413"
"24.29300","0.58564","-0.06618"
"24.39300","0.57538","-0.05021"
"24.49300","0.56562","-0.05407"
"24.59300","0.55569","-0.06361"
"24.69300","0.54525","-0.04435"
"24.79300","0.53561","-0.05212"
"24.89300","0.52578","-0.05347"
"24.99300","0.51527","-0.05855"
"25.09300","0.50565","-0.04804"
"25.19300","0.49549","-0.04425"
"25.29300","0.48533","-0.05295"
"25.39300","0.47560","-0.07487"
"25.49300","0.46553","-0.06065"
"25.59300","0.45570","-0.06200"
"25.69300","0.44536","-0.06348"
"25.79300","0.43556","-0.07300"
"25.89300","0.42584","-0.05500"
"25.99300","0.41524","-0.05237"
"26.09300","0.40551","-0.04453"
"26.19300","0.39583","-0.06376"
"26.29300","0.38514","-0.05602"
"26.39300","0.37558","-0.05244"
"26.49300","0.36548","-0.04934"
"26.59300","0.35530","-0.06277"
"26.69300","0.34569","-0.06006"
"26.79300","0.33554","-0.05949"
"26.89300","0.32566","-0.06198"
"26.99300","0.31538","-0.05728"
"27.09300","0.30555","-0.06388"
"27.19300","0.29590","-0.05263"
"27.29300","0.28524","-0.05917"
"27.39300","0.27554","-0.06085"
"27.49300","0.26575","-0.06079"
"27.59300","0.25529","-0.05010"
"27.69300","0.24549","-0.05838"
"27.79300","0.23538","-0.04043"
