General : Start date,"4/15/2024 11:58 AM"
General : End date,"4/15/2024 11:59 AM"
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00455"
"0.10000","0.00240","0.00094"
"0.20000","0.01353","-0.00052"
"0.30000","0.02410","0.00576"
"0.40000","0.03406","-0.00689"
"0.50000","0.04417","0.00385"
"0.60000","0.05445","-0.00484"
"0.70000","0.06418","-0.01465"
"0.80000","0.07393","-0.01511"
"0.90000","0.08446","-0.00740"
"1.00000","0.09399","-0.02458"
"1.10000","0.10408","-0.02204"
"1.20000","0.11433","-0.01569"
"1.30000","0.12385","-0.00838"
"1.40000","0.13418","-0.01594"
"1.50000","0.14415","-0.02312"
"1.60000","0.15415","-0.01530"
"1.70000","0.16415","-0.01140"
"1.80000","0.17406","-0.00738"
"1.90000","0.18445","-0.03459"
"2.00000","0.19426","-0.02128"
"2.10000","0.20398","-0.02327"
"2.20000","0.21448","-0.01055"
"2.30000","0.22404","-0.05040"
"2.40000","0.23422","-0.02238"
"2.50000","0.24431","-0.03368"
"2.60000","0.25393","-0.01627"
"2.70000","0.26417","-0.03909"
"2.80000","0.27405","-0.02402"
"2.90000","0.28413","-0.02187"
"3.00000","0.29421","-0.03684"
"3.10000","0.30414","-0.02509"
"3.20000","0.31444","-0.04111"
"3.30000","0.32415","-0.02857"
"3.40000","0.33398","-0.03277"
"3.50000","0.34442","-0.04840"
"3.60000","0.35395","-0.03161"
"3.70000","0.36430","-0.03678"
"3.80000","0.37426","-0.03535"
"3.90000","0.38391","-0.03070"
"4.00000","0.39420","-0.03289"
"4.10000","0.40423","-0.02546"
"4.20000","0.41416","-0.01828"
"4.30000","0.42428","-0.02869"
"4.40000","0.43400","-0.01393"
"4.50000","0.44451","-0.03586"
"4.60000","0.45409","-0.02090"
"4.70000","0.46396","-0.03491"
"4.80000","0.47449","-0.02924"
"4.90000","0.48393","-0.02552"
"5.00000","0.49424","-0.03294"
"5.10000","0.50430","-0.03109"
"5.20000","0.51392","-0.02907"
"5.30000","0.52409","-0.01315"
"5.40000","0.53423","-0.02778"
"5.50000","0.54419","-0.01650"
"5.60000","0.55425","-0.02509"
"5.70000","0.56415","-0.00982"
"5.80000","0.57452","-0.01359"
"5.90000","0.58405","-0.01985"
"6.00000","0.59396","-0.01135"
"6.10000","0.60449","0.01495"
"6.20000","0.61394","-0.00478"
"6.30000","0.62423","-0.00830"
"6.40000","0.63430","-0.01038"
"6.50000","0.64387","0.00619"
"6.60000","0.65407","-0.01536"
"6.70000","0.66416","-0.00164"
"6.80000","0.67421","0.00433"
"6.90000","0.68428","0.01934"
"7.00000","0.69404","0.01002"
"7.10000","0.70454","0.01596"
"7.20000","0.71415","0.00733"
"7.30000","0.72402","0.03256"
"7.40000","0.73450","0.02386"
"7.50000","0.74401","0.04247"
"7.60000","0.75415","0.01636"
"7.70000","0.76432","0.05352"
"7.80000","0.77389","0.04193"
"7.90000","0.78401","0.03693"
"8.00000","0.79419","0.05162"
"8.10000","0.80420","0.05378"
"8.20000","0.81419","0.04626"
"8.30000","0.82401","0.06090"
"8.40000","0.83456","0.04817"
"8.50000","0.84412","0.07676"
"8.60000","0.85404","0.05782"
"8.70000","0.86446","0.08560"
"8.80000","0.87403","0.08201"
"8.90000","0.88419","0.09804"
"9.00000","0.89422","0.09498"
"9.10000","0.90391","0.10007"
"9.20000","0.91423","0.11262"
"9.30000","0.92423","0.11427"
"9.40000","0.93425","0.12334"
"9.50000","0.94427","0.11695"
"9.60000","0.95396","0.12979"
"9.70000","0.96440","0.14930"
"9.80000","0.97417","0.13053"
"9.90000","0.98413","0.16293"
"10.00000","0.99436","0.14936"
"10.06000","1.00003","0.12847"
"10.06100","1.00011","0.12690"
"10.06200","1.00019","0.12524"
"10.16200","1.00175","0.17002"
"10.26200","1.00144","0.17074"
"10.36200","1.00110","0.15967"
"10.46200","1.00066","0.16204"
"10.56200","1.00017","0.15085"
"10.66200","0.99998","0.16778"
"10.76200","0.99996","0.15837"
"10.86200","0.99996","0.13737"
"10.96200","0.99988","0.17501"
"11.06200","0.99988","0.15387"
"11.16200","0.99988","0.14539"
"11.26200","0.99988","0.14425"
"11.36200","0.99988","0.13660"
"11.46200","0.99991","0.16235"
"11.56200","0.99996","0.14621"
"11.66200","0.99996","0.13557"
"11.76200","0.99996","0.15030"
"11.86200","0.99996","0.14749"
"11.96200","0.99996","0.15485"
